Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Human gene stable ID	Human gene name	Human orthology confidence [0 low, 1 high]
ENSMPUG00000007207	ENSMPUG00000007207.1	ENSMPUT00000007268	ENSMPUT00000007268.1	ENSG00000142347	MYO1F	1
ENSMPUG00000007208	ENSMPUG00000007208.1	ENSMPUT00000007269	ENSMPUT00000007269.1	ENSG00000137693	YAP1	1
ENSMPUG00000007209	ENSMPUG00000007209.1	ENSMPUT00000007270	ENSMPUT00000007270.1	ENSG00000187741	FANCA	1
ENSMPUG00000007210	ENSMPUG00000007210.1	ENSMPUT00000007271	ENSMPUT00000007271.1	ENSG00000196581	AJAP1	1
ENSMPUG00000007211	ENSMPUG00000007211.1	ENSMPUT00000007272	ENSMPUT00000007272.1	ENSG00000148143	ZNF462	1
ENSMPUG00000007212	ENSMPUG00000007212.1	ENSMPUT00000007273	ENSMPUT00000007273.1	ENSG00000157227	MMP14	1
ENSMPUG00000007213	ENSMPUG00000007213.1	ENSMPUT00000007274	ENSMPUT00000007274.1	ENSG00000112592	TBP	1
ENSMPUG00000007214	ENSMPUG00000007214.1	ENSMPUT00000007275	ENSMPUT00000007275.1	ENSG00000111142	METAP2	1
ENSMPUG00000007215	ENSMPUG00000007215.1	ENSMPUT00000007276	ENSMPUT00000007276.1	ENSG00000139988	RDH12	1
ENSMPUG00000007216	ENSMPUG00000007216.1	ENSMPUT00000007277	ENSMPUT00000007277.1	ENSG00000116005	PCYOX1	1
ENSMPUG00000007217	ENSMPUG00000007217.1	ENSMPUT00000007278	ENSMPUT00000007278.1	ENSG00000137691	CFAP300	1
ENSMPUG00000007218	ENSMPUG00000007218.1	ENSMPUT00000007279	ENSMPUT00000007279.1	ENSG00000198912	C1orf174	1
ENSMPUG00000007219	ENSMPUG00000007219.1	ENSMPUT00000007280	ENSMPUT00000007280.1	ENSG00000168807	SNTB2	1
ENSMPUG00000007220	ENSMPUG00000007220.1	ENSMPUT00000007281	ENSMPUT00000007281.1			
ENSMPUG00000007221	ENSMPUG00000007221.1	ENSMPUT00000007282	ENSMPUT00000007282.1			
ENSMPUG00000007222	ENSMPUG00000007222.1	ENSMPUT00000007283	ENSMPUT00000007283.1	ENSG00000161849	KRT84	1
ENSMPUG00000007223	ENSMPUG00000007223.1	ENSMPUT00000007284	ENSMPUT00000007284.1	ENSG00000072121	ZFYVE26	1
ENSMPUG00000007224	ENSMPUG00000007224.1	ENSMPUT00000007285	ENSMPUT00000007285.1	ENSG00000105974	CAV1	1
ENSMPUG00000007225	ENSMPUG00000007225.1	ENSMPUT00000007286	ENSMPUT00000007286.1			
ENSMPUG00000007226	ENSMPUG00000007226.1	ENSMPUT00000007287	ENSMPUT00000007287.1	ENSG00000119318	RAD23B	1
ENSMPUG00000007227	ENSMPUG00000007227.1	ENSMPUT00000007288	ENSMPUT00000007288.1	ENSG00000071994	PDCD2	1
ENSMPUG00000007228	ENSMPUG00000007228.1	ENSMPUT00000007289	ENSMPUT00000007289.1	ENSG00000155465	SLC7A7	1
ENSMPUG00000007229	ENSMPUG00000007229.1	ENSMPUT00000007290	ENSMPUT00000007290.1			
ENSMPUG00000007230	ENSMPUG00000007230.1	ENSMPUT00000007291	ENSMPUT00000007291.1	ENSG00000110318	CEP126	1
ENSMPUG00000007231	ENSMPUG00000007231.1	ENSMPUT00000007292	ENSMPUT00000007292.1	ENSG00000133250	ZNF414	1
ENSMPUG00000007232	ENSMPUG00000007232.1	ENSMPUT00000007293	ENSMPUT00000007293.1	ENSG00000105971	CAV2	1
ENSMPUG00000007233	ENSMPUG00000007233.1	ENSMPUT00000007294	ENSMPUT00000007294.1	ENSG00000179242	CDH4	1
ENSMPUG00000007234	ENSMPUG00000007234.1	ENSMPUT00000007295	ENSMPUT00000007295.1	ENSG00000172590	MRPL52	1
ENSMPUG00000007235	ENSMPUG00000007235.1	ENSMPUT00000007296	ENSMPUT00000007296.1	ENSG00000076928	ARHGEF1	1
ENSMPUG00000007236	ENSMPUG00000007236.1	ENSMPUT00000007297	ENSMPUT00000007297.1	ENSG00000136826	KLF4	1
ENSMPUG00000007237	ENSMPUG00000007237.1	ENSMPUT00000007298	ENSMPUT00000007298.1	ENSG00000158805	ZNF276	1
ENSMPUG00000007238	ENSMPUG00000007238.1	ENSMPUT00000007299	ENSMPUT00000007299.1	ENSG00000135269	TES	1
ENSMPUG00000007239	ENSMPUG00000007239.1	ENSMPUT00000007300	ENSMPUT00000007300.1			
ENSMPUG00000007240	ENSMPUG00000007240.1	ENSMPUT00000007301	ENSMPUT00000007301.1	ENSG00000169598	DFFB	1
ENSMPUG00000007241	ENSMPUG00000007241.1	ENSMPUT00000007302	ENSMPUT00000007302.1	ENSG00000099783	HNRNPM	1
ENSMPUG00000007242	ENSMPUG00000007242.1	ENSMPUT00000007303	ENSMPUT00000007303.1	ENSG00000035141	FAM136A	1
ENSMPUG00000007243	ENSMPUG00000007243.1	ENSMPUT00000007304	ENSMPUT00000007304.1			
ENSMPUG00000007244	ENSMPUG00000007244.1	ENSMPUT00000007305	ENSMPUT00000007305.1	ENSG00000232629	HLA-DQB2	0
ENSMPUG00000007245	ENSMPUG00000007245.1	ENSMPUT00000007306	ENSMPUT00000007306.1	ENSG00000187151	ANGPTL5	1
ENSMPUG00000007246	ENSMPUG00000007246.1	ENSMPUT00000007307	ENSMPUT00000007307.1	ENSG00000119446	RBM18	1
ENSMPUG00000007247	ENSMPUG00000007247.1	ENSMPUT00000007308	ENSMPUT00000007308.1	ENSG00000162409	PRKAA2	1
ENSMPUG00000007248	ENSMPUG00000007248.1	ENSMPUT00000007309	ENSMPUT00000007309.1	ENSG00000105967	TFEC	1
ENSMPUG00000007249	ENSMPUG00000007249.1	ENSMPUT00000007310	ENSMPUT00000007310.1	ENSG00000106462	EZH2	1
ENSMPUG00000007250	ENSMPUG00000007250.1	ENSMPUT00000007311	ENSMPUT00000007311.1	ENSG00000163235	TGFA	1
ENSMPUG00000007251	ENSMPUG00000007251.1	ENSMPUT00000007312	ENSMPUT00000007312.1	ENSG00000197858	GPAA1	1
ENSMPUG00000007252	ENSMPUG00000007252.1	ENSMPUT00000007313	ENSMPUT00000007313.1			
ENSMPUG00000007253	ENSMPUG00000007253.1	ENSMPUT00000007314	ENSMPUT00000007314.1	ENSG00000106852	LHX6	1
ENSMPUG00000007254	ENSMPUG00000007254.1	ENSMPUT00000007315	ENSMPUT00000007315.1	ENSG00000075399	VPS9D1	1
ENSMPUG00000007255	ENSMPUG00000007255.1	ENSMPUT00000007316	ENSMPUT00000007316.1	ENSG00000070061	ELP1	1
ENSMPUG00000007256	ENSMPUG00000007256.1	ENSMPUT00000007317	ENSMPUT00000007317.1	ENSG00000075340	ADD2	1
ENSMPUG00000007257	ENSMPUG00000007257.1	ENSMPUT00000007318	ENSMPUT00000007318.1	ENSG00000099785	MARCHF2	1
ENSMPUG00000007258	ENSMPUG00000007258.1	ENSMPUT00000007319	ENSMPUT00000007319.1			
ENSMPUG00000007258	ENSMPUG00000007258.1	ENSMPUT00000007320	ENSMPUT00000007320.1			
ENSMPUG00000007259	ENSMPUG00000007259.1	ENSMPUT00000007321	ENSMPUT00000007321.1	ENSG00000187889	FYB2	1
ENSMPUG00000007260	ENSMPUG00000007260.1	ENSMPUT00000007322	ENSMPUT00000007322.1	ENSG00000178896	EXOSC4	1
ENSMPUG00000007261	ENSMPUG00000007261.1	ENSMPUT00000007323	ENSMPUT00000007323.1	ENSG00000182185	RAD51B	1
ENSMPUG00000007262	ENSMPUG00000007262.1	ENSMPUT00000007324	ENSMPUT00000007324.1	ENSG00000055130	CUL1	1
ENSMPUG00000007263	ENSMPUG00000007263.1	ENSMPUT00000007325	ENSMPUT00000007325.1	ENSG00000185236	RAB11B	1
ENSMPUG00000007264	ENSMPUG00000007264.1	ENSMPUT00000007326	ENSMPUT00000007326.1	ENSG00000185681	MORN5	1
ENSMPUG00000007265	ENSMPUG00000007265.1	ENSMPUT00000007327	ENSMPUT00000007327.1	ENSG00000135443	KRT85	1
ENSMPUG00000007266	ENSMPUG00000007266.1	ENSMPUT00000007328	ENSMPUT00000007328.1	ENSG00000178814	OPLAH	1
ENSMPUG00000007267	ENSMPUG00000007267.1	ENSMPUT00000007329	ENSMPUT00000007329.1	ENSG00000185324	CDK10	1
ENSMPUG00000007268	ENSMPUG00000007268.1	ENSMPUT00000007330	ENSMPUT00000007330.1	ENSG00000268041	ERFL	1
ENSMPUG00000007269	ENSMPUG00000007269.1	ENSMPUT00000007331	ENSMPUT00000007331.1	ENSG00000155463	OXA1L	1
ENSMPUG00000007270	ENSMPUG00000007270.1	ENSMPUT00000007332	ENSMPUT00000007332.1			
ENSMPUG00000007271	ENSMPUG00000007271.1	ENSMPUT00000007333	ENSMPUT00000007333.1	ENSG00000183733	FIGLA	1
ENSMPUG00000007272	ENSMPUG00000007272.1	ENSMPUT00000007334	ENSMPUT00000007334.1	ENSG00000167772	ANGPTL4	1
ENSMPUG00000007273	ENSMPUG00000007273.1	ENSMPUT00000007335	ENSMPUT00000007335.1	ENSG00000105404	RABAC1	1
ENSMPUG00000007274	ENSMPUG00000007274.1	ENSMPUT00000007336	ENSMPUT00000007336.1	ENSG00000158792	SPATA2L	1
ENSMPUG00000007275	ENSMPUG00000007275.1	ENSMPUT00000007337	ENSMPUT00000007337.1	ENSG00000157131	C8A	1
ENSMPUG00000007276	ENSMPUG00000007276.1	ENSMPUT00000007338	ENSMPUT00000007338.1			
ENSMPUG00000007277	ENSMPUG00000007277.1	ENSMPUT00000007339	ENSMPUT00000007339.1	ENSG00000100439	ABHD4	1
ENSMPUG00000007278	ENSMPUG00000007278.1	ENSMPUT00000007340	ENSMPUT00000007340.1	ENSG00000133275	CSNK1G2	1
ENSMPUG00000007279	ENSMPUG00000007279.1	ENSMPUT00000007341	ENSMPUT00000007341.1			
ENSMPUG00000007280	ENSMPUG00000007280.1	ENSMPUT00000007342	ENSMPUT00000007342.1	ENSG00000173581	CCDC106	1
ENSMPUG00000007281	ENSMPUG00000007281.1	ENSMPUT00000007343	ENSMPUT00000007343.1	ENSG00000131165	CHMP1A	1
ENSMPUG00000007282	ENSMPUG00000007282.1	ENSMPUT00000007344	ENSMPUT00000007344.1	ENSG00000185650	ZFP36L1	1
ENSMPUG00000007283	ENSMPUG00000007283.1	ENSMPUT00000007345	ENSMPUT00000007345.1	ENSG00000119328	ABITRAM	1
ENSMPUG00000007284	ENSMPUG00000007284.1	ENSMPUT00000007346	ENSMPUT00000007346.1	ENSG00000186994	KANK3	1
ENSMPUG00000007285	ENSMPUG00000007285.1	ENSMPUT00000007347	ENSMPUT00000007347.1	ENSG00000132612	VPS4A	1
ENSMPUG00000007286	ENSMPUG00000007286.1	ENSMPUT00000007348	ENSMPUT00000007348.1	ENSG00000137672	TRPC6	1
ENSMPUG00000007287	ENSMPUG00000007287.1	ENSMPUT00000007349	ENSMPUT00000007349.1			
ENSMPUG00000007288	ENSMPUG00000007288.1	ENSMPUT00000007350	ENSMPUT00000007350.1	ENSG00000152672	CLEC4F	1
ENSMPUG00000007289	ENSMPUG00000007289.1	ENSMPUT00000007351	ENSMPUT00000007351.1	ENSG00000129562	DAD1	1
ENSMPUG00000007290	ENSMPUG00000007290.1	ENSMPUT00000007352	ENSMPUT00000007352.1	ENSG00000119421	NDUFA8	1
ENSMPUG00000007291	ENSMPUG00000007291.1	ENSMPUT00000007353	ENSMPUT00000007353.1			
ENSMPUG00000007292	ENSMPUG00000007292.1	ENSMPUT00000007354	ENSMPUT00000007354.1			
ENSMPUG00000007293	ENSMPUG00000007293.1	ENSMPUT00000007355	ENSMPUT00000007355.1			
ENSMPUG00000007294	ENSMPUG00000007294.1	ENSMPUT00000007356	ENSMPUT00000007356.1	ENSG00000119326	CTNNAL1	1
ENSMPUG00000007295	ENSMPUG00000007295.1	ENSMPUT00000007357	ENSMPUT00000007357.1	ENSG00000186583	SPATC1	1
ENSMPUG00000007296	ENSMPUG00000007296.1	ENSMPUT00000007358	ENSMPUT00000007358.1	ENSG00000021852	C8B	1
ENSMPUG00000007297	ENSMPUG00000007297.1	ENSMPUT00000007359	ENSMPUT00000007359.1			
ENSMPUG00000007298	ENSMPUG00000007298.1	ENSMPUT00000007360	ENSMPUT00000007360.1	ENSG00000106479	ZNF862	0
ENSMPUG00000007299	ENSMPUG00000007299.1	ENSMPUT00000007361	ENSMPUT00000007361.1	ENSG00000116198	CEP104	1
ENSMPUG00000007300	ENSMPUG00000007300.1	ENSMPUT00000007362	ENSMPUT00000007362.1			
ENSMPUG00000007301	ENSMPUG00000007301.1	ENSMPUT00000007363	ENSMPUT00000007363.1	ENSG00000175764	TTLL11	1
ENSMPUG00000007302	ENSMPUG00000007302.1	ENSMPUT00000007364	ENSMPUT00000007364.1	ENSG00000267855	NDUFA7	1
ENSMPUG00000007303	ENSMPUG00000007303.1	ENSMPUT00000007365	ENSMPUT00000007365.1	ENSG00000116031	CD207	1
ENSMPUG00000007304	ENSMPUG00000007304.1	ENSMPUT00000007366	ENSMPUT00000007366.1	ENSG00000028203	VEZT	1
ENSMPUG00000007305	ENSMPUG00000007305.1	ENSMPUT00000007367	ENSMPUT00000007367.1	ENSG00000213380	COG8	1
ENSMPUG00000007306	ENSMPUG00000007306.1	ENSMPUT00000007368	ENSMPUT00000007368.1	ENSG00000179922	ZNF784	1
ENSMPUG00000007307	ENSMPUG00000007307.1	ENSMPUT00000007369	ENSMPUT00000007369.1	ENSG00000171130	ATP6V0E2	1
ENSMPUG00000007308	ENSMPUG00000007308.1	ENSMPUT00000007370	ENSMPUT00000007370.1	ENSG00000116035	VAX2	1
ENSMPUG00000007309	ENSMPUG00000007309.1	ENSMPUT00000007371	ENSMPUT00000007371.1	ENSG00000135272	MDFIC	1
ENSMPUG00000007310	ENSMPUG00000007310.1	ENSMPUT00000007372	ENSMPUT00000007372.1	ENSG00000189099	PRSS48	1
ENSMPUG00000007311	ENSMPUG00000007311.1	ENSMPUT00000007373	ENSMPUT00000007373.1	ENSG00000261221	ZNF865	1
ENSMPUG00000007312	ENSMPUG00000007312.1	ENSMPUT00000007374	ENSMPUT00000007374.1			
ENSMPUG00000007313	ENSMPUG00000007313.1	ENSMPUT00000007375	ENSMPUT00000007375.1	ENSG00000173406	DAB1	1
ENSMPUG00000007314	ENSMPUG00000007314.1	ENSMPUT00000007376	ENSMPUT00000007376.1	ENSG00000180263	FGD6	1
ENSMPUG00000007315	ENSMPUG00000007315.1	ENSMPUT00000007377	ENSMPUT00000007377.1	ENSG00000179943	FIZ1	1
ENSMPUG00000007316	ENSMPUG00000007316.1	ENSMPUT00000007378	ENSMPUT00000007378.1	ENSG00000128573	FOXP2	1
ENSMPUG00000007317	ENSMPUG00000007317.1	ENSMPUT00000007379	ENSMPUT00000007379.1	ENSG00000106771	TMEM245	1
ENSMPUG00000007318	ENSMPUG00000007318.1	ENSMPUT00000007380	ENSMPUT00000007380.1	ENSG00000072110	ACTN1	1
ENSMPUG00000007319	ENSMPUG00000007319.1	ENSMPUT00000007381	ENSMPUT00000007381.1	ENSG00000211829	TRDC	1
ENSMPUG00000007320	ENSMPUG00000007320.1	ENSMPUT00000007382	ENSMPUT00000007382.1	ENSG00000178719	GRINA	1
ENSMPUG00000007321	ENSMPUG00000007321.1	ENSMPUT00000007383	ENSMPUT00000007383.1	ENSG00000130764	LRRC47	1
ENSMPUG00000007322	ENSMPUG00000007322.1	ENSMPUT00000007384	ENSMPUT00000007384.1			
ENSMPUG00000007323	ENSMPUG00000007323.1	ENSMPUT00000007385	ENSMPUT00000007385.1	ENSG00000167775	CD320	1
ENSMPUG00000007324	ENSMPUG00000007324.1	ENSMPUT00000007386	ENSMPUT00000007386.1	ENSG00000105409	ATP1A3	1
ENSMPUG00000007325	ENSMPUG00000007325.1	ENSMPUT00000007387	ENSMPUT00000007387.1	ENSG00000136848	DAB2IP	1
ENSMPUG00000007326	ENSMPUG00000007326.1	ENSMPUT00000007388	ENSMPUT00000007388.1	ENSG00000157315	TMED6	1
ENSMPUG00000007327	ENSMPUG00000007327.1	ENSMPUT00000007389	ENSMPUT00000007389.1	ENSG00000116039	ATP6V1B1	1
ENSMPUG00000007328	ENSMPUG00000007328.1	ENSMPUT00000007390	ENSMPUT00000007390.1			
ENSMPUG00000007329	ENSMPUG00000007329.1	ENSMPUT00000007391	ENSMPUT00000007391.1	ENSG00000178209	PLEC	1
ENSMPUG00000007330	ENSMPUG00000007330.1	ENSMPUT00000007392	ENSMPUT00000007392.1	ENSG00000179954	SSC5D	1
ENSMPUG00000007331	ENSMPUG00000007331.1	ENSMPUT00000007393	ENSMPUT00000007393.1	ENSG00000162592	CCDC27	1
ENSMPUG00000007332	ENSMPUG00000007332.1	ENSMPUT00000007394	ENSMPUT00000007394.1	ENSG00000105711	SCN1B	1
ENSMPUG00000007333	ENSMPUG00000007333.1	ENSMPUT00000007395	ENSMPUT00000007395.1	ENSG00000211820	TRAV41	1
ENSMPUG00000007334	ENSMPUG00000007334.1	ENSMPUT00000007396	ENSMPUT00000007396.1	ENSG00000174876	AMY1B	1
ENSMPUG00000007334	ENSMPUG00000007334.1	ENSMPUT00000007396	ENSMPUT00000007396.1	ENSG00000240038	AMY2B	1
ENSMPUG00000007334	ENSMPUG00000007334.1	ENSMPUT00000007396	ENSMPUT00000007396.1	ENSG00000187733	AMY1C	1
ENSMPUG00000007334	ENSMPUG00000007334.1	ENSMPUT00000007396	ENSMPUT00000007396.1	ENSG00000243480	AMY2A	1
ENSMPUG00000007334	ENSMPUG00000007334.1	ENSMPUT00000007396	ENSMPUT00000007396.1	ENSG00000237763	AMY1A	1
ENSMPUG00000007335	ENSMPUG00000007335.1	ENSMPUT00000007397	ENSMPUT00000007397.1	ENSG00000120798	NR2C1	1
ENSMPUG00000007336	ENSMPUG00000007336.1	ENSMPUT00000007398	ENSMPUT00000007398.1	ENSG00000090661	CERS4	1
ENSMPUG00000007337	ENSMPUG00000007337.1	ENSMPUT00000007399	ENSMPUT00000007399.1	ENSG00000169291	SHE	1
ENSMPUG00000007338	ENSMPUG00000007338.1	ENSMPUT00000007400	ENSMPUT00000007400.1	ENSG00000211816	TRAV38-1	1
ENSMPUG00000007338	ENSMPUG00000007338.1	ENSMPUT00000007400	ENSMPUT00000007400.1	ENSG00000211817	TRAV38-2DV8	1
ENSMPUG00000007339	ENSMPUG00000007339.1	ENSMPUT00000007401	ENSMPUT00000007401.1			
ENSMPUG00000007340	ENSMPUG00000007340.1	ENSMPUT00000007402	ENSMPUT00000007402.1	ENSG00000260230	FRRS1L	1
ENSMPUG00000007341	ENSMPUG00000007341.1	ENSMPUT00000007403	ENSMPUT00000007403.1	ENSG00000139990	DCAF5	1
ENSMPUG00000007342	ENSMPUG00000007342.1	ENSMPUT00000007404	ENSMPUT00000007404.1	ENSG00000211816	TRAV38-1	1
ENSMPUG00000007342	ENSMPUG00000007342.1	ENSMPUT00000007404	ENSMPUT00000007404.1	ENSG00000211817	TRAV38-2DV8	1
ENSMPUG00000007343	ENSMPUG00000007343.1	ENSMPUT00000007405	ENSMPUT00000007405.1	ENSG00000144031	ANKRD53	1
ENSMPUG00000007344	ENSMPUG00000007344.1	ENSMPUT00000007406	ENSMPUT00000007406.1			
ENSMPUG00000007345	ENSMPUG00000007345.1	ENSMPUT00000007407	ENSMPUT00000007407.1	ENSG00000105737	GRIK5	1
ENSMPUG00000007346	ENSMPUG00000007346.1	ENSMPUT00000007408	ENSMPUT00000007408.1	ENSG00000160712	IL6R	1
ENSMPUG00000007347	ENSMPUG00000007347.1	ENSMPUT00000007409	ENSMPUT00000007409.1	ENSG00000231274	SBK3	1
ENSMPUG00000007348	ENSMPUG00000007348.1	ENSMPUT00000007410	ENSMPUT00000007410.1	ENSG00000015413	DPEP1	1
ENSMPUG00000007349	ENSMPUG00000007349.1	ENSMPUT00000007411	ENSMPUT00000007411.1	ENSG00000185946	RNPC3	1
ENSMPUG00000007350	ENSMPUG00000007350.1	ENSMPUT00000007412	ENSMPUT00000007412.1	ENSG00000013288	MAN2B2	0
ENSMPUG00000007351	ENSMPUG00000007351.1	ENSMPUT00000007413	ENSMPUT00000007413.1	ENSG00000106538	RARRES2	1
ENSMPUG00000007352	ENSMPUG00000007352.1	ENSMPUT00000007414	ENSMPUT00000007414.1	ENSG00000132604	TERF2	1
ENSMPUG00000007353	ENSMPUG00000007353.1	ENSMPUT00000007415	ENSMPUT00000007415.1	ENSG00000142449	FBN3	1
ENSMPUG00000007354	ENSMPUG00000007354.1	ENSMPUT00000007416	ENSMPUT00000007416.1	ENSG00000184752	NDUFA12	1
ENSMPUG00000007355	ENSMPUG00000007355.1	ENSMPUT00000007417	ENSMPUT00000007417.1	ENSG00000049167	ERCC8	1
ENSMPUG00000007356	ENSMPUG00000007356.1	ENSMPUT00000007418	ENSMPUT00000007418.1			
ENSMPUG00000007357	ENSMPUG00000007357.1	ENSMPUT00000007419	ENSMPUT00000007419.1	ENSG00000148180	GSN	1
ENSMPUG00000007358	ENSMPUG00000007358.1	ENSMPUT00000007420	ENSMPUT00000007420.1			
ENSMPUG00000007359	ENSMPUG00000007359.1	ENSMPUT00000007421	ENSMPUT00000007421.1			
ENSMPUG00000007360	ENSMPUG00000007360.1	ENSMPUT00000007422	ENSMPUT00000007422.1			
ENSMPUG00000007361	ENSMPUG00000007361.1	ENSMPUT00000007423	ENSMPUT00000007423.1	ENSG00000178773	CPNE7	1
ENSMPUG00000007362	ENSMPUG00000007362.1	ENSMPUT00000007424	ENSMPUT00000007424.1	ENSG00000187550	SBK2	1
ENSMPUG00000007363	ENSMPUG00000007363.1	ENSMPUT00000007425	ENSMPUT00000007425.1	ENSG00000211810	TRAV29DV5	1
ENSMPUG00000007364	ENSMPUG00000007364.1	ENSMPUT00000007426	ENSMPUT00000007426.1	ENSG00000103018	CYB5B	1
ENSMPUG00000007365	ENSMPUG00000007365.1	ENSMPUT00000007427	ENSMPUT00000007427.1	ENSG00000095203	EPB41L4B	1
ENSMPUG00000007366	ENSMPUG00000007366.1	ENSMPUT00000007428	ENSMPUT00000007428.1	ENSG00000074211	PPP2R2C	1
ENSMPUG00000007367	ENSMPUG00000007367.1	ENSMPUT00000007429	ENSMPUT00000007429.1	ENSG00000164181	ELOVL7	1
ENSMPUG00000007368	ENSMPUG00000007368.1	ENSMPUT00000007430	ENSMPUT00000007430.1	ENSG00000081177	EXD2	1
ENSMPUG00000007369	ENSMPUG00000007369.1	ENSMPUT00000007431	ENSMPUT00000007431.1	ENSG00000105732	ZNF574	1
ENSMPUG00000007370	ENSMPUG00000007370.1	ENSMPUT00000007432	ENSMPUT00000007432.1	ENSG00000211802	TRAV22	0
ENSMPUG00000007371	ENSMPUG00000007371.1	ENSMPUT00000007433	ENSMPUT00000007433.1	ENSG00000090971	NAT14	1
ENSMPUG00000007372	ENSMPUG00000007372.1	ENSMPUT00000007434	ENSMPUT00000007434.1	ENSG00000144043	TEX261	1
ENSMPUG00000007373	ENSMPUG00000007373.1	ENSMPUT00000007435	ENSMPUT00000007435.1			
ENSMPUG00000007374	ENSMPUG00000007374.1	ENSMPUT00000007436	ENSMPUT00000007436.1	ENSG00000028277	POU2F2	1
ENSMPUG00000007375	ENSMPUG00000007375.1	ENSMPUT00000007437	ENSMPUT00000007437.1	ENSG00000211801	TRAV21	1
ENSMPUG00000007376	ENSMPUG00000007376.1	ENSMPUT00000007438	ENSMPUT00000007438.1	ENSG00000100626	GALNT16	1
ENSMPUG00000007377	ENSMPUG00000007377.1	ENSMPUT00000007439	ENSMPUT00000007439.1	ENSG00000063241	ISOC2	1
ENSMPUG00000007378	ENSMPUG00000007378.1	ENSMPUT00000007440	ENSMPUT00000007440.1	ENSG00000035499	DEPDC1B	1
ENSMPUG00000007379	ENSMPUG00000007379.1	ENSMPUT00000007441	ENSMPUT00000007441.1	ENSG00000089351	GRAMD1A	1
ENSMPUG00000007380	ENSMPUG00000007380.1	ENSMPUT00000007442	ENSMPUT00000007442.1	ENSG00000164142	FHIP1A	1
ENSMPUG00000007381	ENSMPUG00000007381.1	ENSMPUT00000007443	ENSMPUT00000007443.1	ENSG00000109501	WFS1	1
ENSMPUG00000007382	ENSMPUG00000007382.1	ENSMPUT00000007444	ENSMPUT00000007444.1	ENSG00000124357	NAGK	1
ENSMPUG00000007383	ENSMPUG00000007383.1	ENSMPUT00000007445	ENSMPUT00000007445.1	ENSG00000057704	TMCC3	1
ENSMPUG00000007384	ENSMPUG00000007384.1	ENSMPUT00000007446	ENSMPUT00000007446.1	ENSG00000211800	TRAV20	1
ENSMPUG00000007385	ENSMPUG00000007385.1	ENSMPUT00000007447	ENSMPUT00000007447.1	ENSG00000070159	PTPN3	1
ENSMPUG00000007386	ENSMPUG00000007386.1	ENSMPUT00000007448	ENSMPUT00000007448.1			
ENSMPUG00000007387	ENSMPUG00000007387.1	ENSMPUT00000007449	ENSMPUT00000007449.1	ENSG00000173588	CEP83	1
ENSMPUG00000007388	ENSMPUG00000007388.1	ENSMPUT00000007450	ENSMPUT00000007450.1			
ENSMPUG00000007389	ENSMPUG00000007389.1	ENSMPUT00000007451	ENSMPUT00000007451.1	ENSG00000100632	ERH	1
ENSMPUG00000007390	ENSMPUG00000007390.1	ENSMPUT00000007452	ENSMPUT00000007452.1	ENSG00000211792	TRAV14DV4	0
ENSMPUG00000007390	ENSMPUG00000007390.1	ENSMPUT00000007452	ENSMPUT00000007452.1	ENSG00000211799	TRAV19	0
ENSMPUG00000007391	ENSMPUG00000007391.1	ENSMPUT00000007453	ENSMPUT00000007453.1			
ENSMPUG00000007392	ENSMPUG00000007392.1	ENSMPUT00000007454	ENSMPUT00000007454.1	ENSG00000124374	PAIP2B	1
ENSMPUG00000007393	ENSMPUG00000007393.1	ENSMPUT00000007455	ENSMPUT00000007455.1	ENSG00000211798	TRAV18	1
ENSMPUG00000007394	ENSMPUG00000007394.1	ENSMPUT00000007456	ENSMPUT00000007456.1	ENSG00000059691	GATB	1
ENSMPUG00000007395	ENSMPUG00000007395.1	ENSMPUT00000007457	ENSMPUT00000007457.1			
ENSMPUG00000007396	ENSMPUG00000007396.1	ENSMPUT00000007458	ENSMPUT00000007458.1	ENSG00000152969	JAKMIP1	1
ENSMPUG00000007397	ENSMPUG00000007397.1	ENSMPUT00000007459	ENSMPUT00000007459.1	ENSG00000029364	SLC39A9	1
ENSMPUG00000007398	ENSMPUG00000007398.1	ENSMPUT00000007460	ENSMPUT00000007460.1	ENSG00000180884	ZNF792	1
ENSMPUG00000007399	ENSMPUG00000007399.1	ENSMPUT00000007461	ENSMPUT00000007461.1	ENSG00000113448	PDE4D	1
ENSMPUG00000007400	ENSMPUG00000007400.1	ENSMPUT00000007462	ENSMPUT00000007462.1			
ENSMPUG00000007401	ENSMPUG00000007401.1	ENSMPUT00000007463	ENSMPUT00000007463.1	ENSG00000136040	PLXNC1	0
ENSMPUG00000007402	ENSMPUG00000007402.1	ENSMPUT00000007464	ENSMPUT00000007464.1	ENSG00000211797	TRAV17	1
ENSMPUG00000007403	ENSMPUG00000007403.1	ENSMPUT00000007465	ENSMPUT00000007465.1	ENSG00000180884	ZNF792	1
ENSMPUG00000007404	ENSMPUG00000007404.1	ENSMPUT00000007466	ENSMPUT00000007466.1	ENSG00000109670	FBXW7	1
ENSMPUG00000007405	ENSMPUG00000007405.1	ENSMPUT00000007467	ENSMPUT00000007467.1	ENSG00000211786	TRAV8-2	0
ENSMPUG00000007405	ENSMPUG00000007405.1	ENSMPUT00000007467	ENSMPUT00000007467.1	ENSG00000211795	TRAV8-6	0
ENSMPUG00000007405	ENSMPUG00000007405.1	ENSMPUT00000007467	ENSMPUT00000007467.1	ENSG00000211790	TRAV8-4	0
